Strain,Food_Treatment,Rep,Days_To_Pupation,Num_Pupae,Cum_Pupae
mol,High,5,6,23,23
pip,High,5,6,1,1
mol,Medium,5,6,8,8
pip,Medium,5,6,1,1
mol,Low,5,6,0,0
pip,Low,5,6,0,0
mol,X.low,5,6,0,0
pip,X.low,5,6,0,0
mol,High,5,7,25,48
pip,High,5,7,33,34
mol,Medium,5,7,33,41
pip,Medium,5,7,32,33
mol,Low,5,7,18,18
pip,Low,5,7,23,23
mol,X.low,5,7,0,0
pip,X.low,5,7,0,0
mol,High,5,8,9,57
pip,High,5,8,18,52
mol,Medium,5,8,10,51
pip,Medium,5,8,18,51
mol,Low,5,8,15,33
pip,Low,5,8,27,50
mol,X.low,5,8,0,0
pip,X.low,5,8,8,8
mol,High,5,9,0,57
pip,High,5,9,1,53
mol,Medium,5,9,1,52
pip,Medium,5,9,2,53
mol,Low,5,9,20,53
pip,Low,5,9,5,55
mol,X.low,5,9,7,7
pip,X.low,5,9,23,31
mol,High,5,10,0,57
pip,High,5,10,0,53
mol,Medium,5,10,1,53
pip,Medium,5,10,0,53
mol,Low,5,10,0,53
pip,Low,5,10,0,55
mol,X.low,5,10,2,9
pip,X.low,5,10,4,35
mol,High,5,11,0,57
pip,High,5,11,0,53
mol,Medium,5,11,0,53
pip,Medium,5,11,0,53
mol,Low,5,11,3,56
pip,Low,5,11,0,55
mol,X.low,5,11,16,25
pip,X.low,5,11,13,48
mol,High,5,12,0,57
pip,High,5,12,0,53
mol,Medium,5,12,0,53
pip,Medium,5,12,0,53
mol,Low,5,12,0,56
pip,Low,5,12,0,55
mol,X.low,5,12,10,35
pip,X.low,5,12,3,51
mol,High,5,13,0,57
pip,High,5,13,0,53
mol,Medium,5,13,0,53
pip,Medium,5,13,0,53
mol,Low,5,13,0,56
pip,Low,5,13,0,55
mol,X.low,5,13,10,45
pip,X.low,5,13,2,53
mol,High,5,14,0,57
pip,High,5,14,0,53
mol,Medium,5,14,0,53
pip,Medium,5,14,0,53
mol,Low,5,14,0,56
pip,Low,5,14,0,55
mol,X.low,5,14,4,49
pip,X.low,5,14,0,53
mol,High,5,15,0,57
pip,High,5,15,0,53
mol,Medium,5,15,0,53
pip,Medium,5,15,0,53
mol,Low,5,15,0,56
pip,Low,5,15,0,55
mol,X.low,5,15,2,51
pip,X.low,5,15,0,53
mol,High,5,16,0,57
pip,High,5,16,0,53
mol,Medium,5,16,0,53
pip,Medium,5,16,0,53
mol,Low,5,16,0,56
pip,Low,5,16,0,55
mol,X.low,5,16,2,53
pip,X.low,5,16,0,53
